,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GreyScale,bikeMotorbike,alexnet,20_80,bing,0.846214771270752,1,0.05782313,0.11333334,0.0
1,GreyScale,bikeMotorbike,alexnet,30_70,bing,0.846214771270752,1,0.020477815,0.04,0.0
2,GreyScale,bikeMotorbike,alexnet,40_60,bing,0.846214771270752,1,0.0034013605,0.006666667,0.0
3,GreyScale,bikeMotorbike,alexnet,50_50,bing,0.846214771270752,1,0.0068259384,0.013333334,0.0
4,GreyScale,bikeMotorbike,resnet,20_80,bing,0.846214771270752,1,0.0034129692,0.006666667,0.0
5,GreyScale,bikeMotorbike,resnet,30_70,bing,0.846214771270752,1,0.0068259384,0.013333334,0.0
6,GreyScale,bikeMotorbike,resnet,40_60,bing,0.846214771270752,1,0.0,0.0,0.0
7,GreyScale,bikeMotorbike,resnet,50_50,bing,0.846214771270752,1,0.0,0.0,0.0
8,GreyScale,bikeMotorbike,vgg,20_80,bing,0.846214771270752,1,0.0,0.0,0.0
9,GreyScale,bikeMotorbike,vgg,30_70,bing,0.846214771270752,1,0.0033898305,0.006666667,0.0
10,GreyScale,bikeMotorbike,vgg,40_60,bing,0.846214771270752,1,0.0,0.0,0.0
11,GreyScale,bikeMotorbike,vgg,50_50,bing,0.846214771270752,1,0.0033783785,0.006666667,0.0
12,GreyScale,bikeMotorbike,alexnet,20_80,google,0.8770506978034973,1,0.013559322,0.026666667,0.0
13,GreyScale,bikeMotorbike,alexnet,30_70,google,0.8770506978034973,1,0.017006803,0.033333335,0.0
14,GreyScale,bikeMotorbike,alexnet,40_60,google,0.8770506978034973,1,0.006756757,0.013333334,0.0
15,GreyScale,bikeMotorbike,alexnet,50_50,google,0.8770506978034973,1,0.0033670033,0.006666667,0.0
16,GreyScale,bikeMotorbike,resnet,20_80,google,0.8770506978034973,1,0.0,0.0,0.0
17,GreyScale,bikeMotorbike,resnet,30_70,google,0.8770506978034973,1,0.0067114094,0.006666667,0.006802721
18,GreyScale,bikeMotorbike,resnet,40_60,google,0.8770506978034973,1,0.0067340066,0.006666667,0.006849315
19,GreyScale,bikeMotorbike,resnet,50_50,google,0.8770506978034973,1,0.0033783785,0.0,0.0068965517
20,GreyScale,bikeMotorbike,vgg,20_80,google,0.8770506978034973,1,0.0033670033,0.006666667,0.0
21,GreyScale,bikeMotorbike,vgg,30_70,google,0.8770506978034973,1,0.0033444816,0.0,0.006756757
22,GreyScale,bikeMotorbike,vgg,40_60,google,0.8770506978034973,1,0.0033557047,0.0,0.006802721
23,GreyScale,bikeMotorbike,vgg,50_50,google,0.8770506978034973,1,0.0033557047,0.0,0.006802721
